"","pi","xi1","xi2","eta1","eta2","npv1","npv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"1",0.1,0.5,0.5,0.103174603174603,0.103174603174603,0.65,0.65,0.01143,0.00549,0.00666,0.01282,0.01126,0.00234,0.0075,0.0015,0.041,0,0,0,0,0.767498432686885,0.0396444244559721,0,0.0396444244559721,0.0532127184011707,0.0013,0.018,0.03,0.0381
"2",0.1,0.5,0.5,0.166666666666667,0.166666666666667,0.75,0.75,0.01157,0.003425,0.01741,0.00395,0.005555,0.00809,0.004,0.0215,0.0245,0,0,0,0,0.626230837893672,0.123769162106328,0,0.123769162106328,0.0262308378936723,0.0091,0.0319,0.0436,0.0395
"3",0.1,0.5,0.5,0.314814814814815,0.314814814814815,0.85,0.85,0.00204,6.5e-05,0.001945,0.004245,0.00715,0.034555,0.0295,0.007,0.0135,0,0,0,0,0.480251799523831,0.136414867142836,0,0.136414867142836,0.146918466190497,0.0288,0.0397,0.0441,0.0465
"4",0.1,0.75,0.75,0.0515873015873016,0.0515873015873016,0.65,0.65,0.003125,0.0311875,0.014875,0.0003125,0.021625,0.003875,0.0055,0.01325,0.00625,0,0,0,0,0.833175895871162,0.0203955327002664,0,0.0203955327002664,0.026033038728305,2e-04,0.0063,0.0221,0.0304
"5",0.1,0.75,0.75,0.0833333333333333,0.0833333333333333,0.75,0.75,0.0245,0.003,0.00379,0.0125,0.0185,0.01271,0.01375,0.00275,0.0085,0,0,0,0,0.785789822990773,0.0392101770092268,0,0.0392101770092268,0.0357898229907733,3e-04,0.0149,0.0281,0.0378
"6",0.1,0.75,0.75,0.157407407407407,0.157407407407407,0.85,0.85,0.001,0.0205,0.00733,0.041,0.004,0.00117,0.0015,0.007,0.0165,0,0,0,0,0.651089842536021,0.107243490797312,0,0.107243490797312,0.0344231758693544,0.0011,0.0124,0.0275,0.0341
"7",0.1,0.85,0.85,0.030952380952381,0.030952380952381,0.65,0.65,0.0236,0.01845,0.00035,0.02865,0.00245,0.0115,0.00945,0.0024,0.00315,0,0,0,0,0.862556407943734,0.00958644919912331,0,0.00958644919912331,0.0182706936580196,0,5e-04,0.0103,0.0188
"8",0.1,0.85,0.85,0.05,0.05,0.75,0.75,0.0085,0.0045,0.007385,0.0555,0.005,0.004115,7e-04,0.0108,0.0035,0,0,0,0,0.818306952036219,0.0366930479637813,0,0.0366930479637813,0.00830695203621872,0,0.0027,0.0177,0.0287
"9",0.1,0.85,0.85,0.0944444444444444,0.0944444444444444,0.85,0.85,0.001,0.03675,0.00385,0.0248,0.0135,0.0051,0.0088,0.00015,0.00605,0,0,0,0,0.752103502997197,0.0628964970028028,0,0.0628964970028028,0.0221035029971972,0,0.0081,0.0262,0.0316
"10",0.3,0.5,0.5,0.397959183673469,0.397959183673469,0.65,0.65,0.00022,0.00586,0.037,0.003625,0.003795,0.0995,0.086,0.0505,0.0135,0,0,0,0,0.283315827103797,0.138112744324774,0,0.138112744324774,0.140458684246655,0.0343,0.0414,0.0464,0.0472
