"","pi","xi1","xi2","eta1","eta2","npv1","npv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"1",0.1,0.5,0.6,0.103174603174603,0.0825396825396826,0.65,0.65,0.00365,0.0144,0.009015,0.010965,0.001485,0.010485,0.0165,0.013,0.0205,0,0,0,0,0.738890980081633,0.0682518770612244,0,0.086823305632653,0.00603383722448988,0.0032,0.0222,0.0296,0.0355
"2",0.1,0.5,0.6,0.166666666666667,0.133333333333333,0.75,0.75,0.00092,0.01099,0.001755,0.009095,0.012495,0.014745,0.013,0.0135,0.0235,0,0,0,0,0.655906170532107,0.0940938294678927,0,0.124093829467893,0.0259061705321074,0.0063,0.0287,0.0375,0.0398
"3",0.1,0.5,0.6,0.314814814814815,0.251851851851852,0.85,0.85,0.00371,0.007845,0.0072,0.0024,0.002545,0.0263,0.012,0.0315,0.0065,0,0,0,0,0.547512734600653,0.0691539320660134,0,0.12582059873268,0.157512734600653,0.0305,0.0373,0.0446,0.0472
"4",0.1,0.75,0.85,0.0515873015873016,0.030952380952381,0.65,0.65,0.01325,0.0165,0.00479,0.0115,0.024,0.00496,0.0035,0.01625,0.00525,0,0,0,0,0.838406138209726,0.0151652903617027,0,0.0337367189331313,0.0126918524954402,0,0.0022,0.0167,0.0283
"5",0.1,0.75,0.85,0.0833333333333333,0.05,0.75,0.75,0.0137,0.0489625,0.001075,0.0087625,0.002325,0.000175,0.006,0.00525,0.01375,0,0,0,0,0.781250064801425,0.0437499351985753,0,0.0737499351985753,0.00125006480142474,0,0.002,0.0161,0.0239
"6",0.1,0.75,0.85,0.157407407407407,0.0944444444444444,0.85,0.85,0.0255,0.02,0.0032825,5e-04,0.01475,0.0109675,0.00375,0.0205,0.00075,0,0,0,0,0.681195623871948,0.0771377094613854,0,0.133804376128052,0.00786229053861462,0.0034,0.0371,0.0416,0.0414
"7",0.1,0.85,0.95,0.030952380952381,0.0103174603174603,0.65,0.65,0.006,0.0115,0.0002275,0.01425,0.053,2.25e-05,0.0087,0.00155,0.00475,0,0,0,0,0.868694475173085,0.00344838196977175,0,0.0220198105412003,0.00583733231594254,0,0,2e-04,0.0038
"8",0.1,0.85,0.95,0.05,0.0166666666666667,0.75,0.75,0.01825,0.00745,0.00323,0.0065,0.04875,0.00082,0.0083,0.00575,0.00095,0,0,0,0,0.846325451298617,0.00867454870138318,0,0.0386745487013832,0.00632545129861683,0,1e-04,0.0071,0.0315
"9",0.1,0.85,0.95,0.0944444444444444,0.0314814814814815,0.85,0.85,0.0104,0.02995,7.05e-05,0.03545,0.00825,0.0008795,0.00465,0.0063,0.00405,0,0,0,0,0.797342621998396,0.0176573780016042,0,0.0743240446682709,0.0106759553317291,0,5e-04,0.0207,0.051
"10",0.1,0.5,0.7,0.103174603174603,0.0619047619047619,0.65,0.65,0.0127,0.01028,0.01366,0.0073,0.00072,0.00534,0.0165,0.0225,0.011,0,0,0,0,0.760902020409703,0.0462408367331539,0,0.083383693876011,0.00947344898113183,0.0039,0.0221,0.0332,0.0395
"11",0.1,0.5,0.7,0.166666666666667,0.1,0.75,0.75,0.010645,0.00148,0.011695,0.001305,0.01007,0.014805,0.0175,0.029,0.0035,0,0,0,0,0.700162324444391,0.0498376755556092,0,0.109837675555609,0.0401623244443908,0.015,0.0347,0.0443,0.0451
"12",0.1,0.5,0.7,0.314814814814815,0.188888888888889,0.85,0.85,0.008,0.0054,0.013325,0.005675,0.013425,0.004175,0.0115,0.026,0.0125,0,0,0,0,0.499136769710264,0.117529896956403,0,0.230863230289736,0.0524701030435972,0.0228,0.0395,0.0472,0.0475
