"","pi","xi1","xi2","eta1","eta2","npv1","npv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"1",0.1,0.5,0.6,0.103174603174603,0.133333333333333,0.65,0.75,5e-04,0.00853,0.021265,0.002135,0.008335,0.009235,0.0265,0.014,0.0095,0,0,0,0,0.731226642378606,0.0759162147642513,0,0.0487733576213941,0.0440837852357488,0.0224,0.1098,0.2225,0.306
"2",0.1,0.5,0.6,0.166666666666667,0.251851851851852,0.75,0.85,0.00432,0.008965,0.010915,0.01207,0.003145,0.010585,0.0175,0.014,0.0185,0,0,0,0,0.600085086066586,0.149914913933414,0,0.0732482472667471,0.076751752733253,0.0704,0.2569,0.4762,0.6583
"3",0.1,0.5,0.6,0.314814814814815,0.844444444444444,0.85,0.95,0.00384,0.00844,0.00635,0.00381,0.00091,0.02665,0.0245,0.0185,0.007,0,0,0,0,0.067417403366417,0.54924926330025,0,0.0725825966335836,0.21075073669975,0.2402,0.6028,0.8831,0.9701
"4",0.1,0.5,0.6,0.103174603174603,0.251851851851852,0.65,0.85,0.00275,0.015125,0.00355,0.0038,0.000825,0.02395,0.0335,0.004,0.0125,0,0,0,0,0.639167962183821,0.167974894959036,0,0.0341653711495123,0.0586917717076306,0.1598,0.5338,0.8349,0.9534
"5",0.1,0.5,0.6,0.166666666666667,0.844444444444444,0.75,0.95,0.00394,0.004355,0.024115,0.00104,0.015165,0.001385,0.0275,0.008,0.0145,0,0,0,0,0.0372624913509937,0.712737508649006,0,0.102737508649007,0.0472624913509931,0.4293,0.8842,0.9938,0.9997
"6",0.1,0.75,0.85,0.0515873015873016,0.05,0.65,0.75,0.049,0.0025,0.0021075,0.0085,0.00475,0.0081425,0.02,0.00025,0.00475,0,0,0,0,0.852103897440081,0.00146753113134764,0,0.00289610255991906,0.0435324688686524,0,0.0169,0.0881,0.1596
"7",0.1,0.75,0.85,0.0833333333333333,0.0944444444444444,0.75,0.85,0.0014375,0.04525,0.0005625,0.0190625,0.003,0.0056875,0.0135,0.00275,0.00875,0,0,0,0,0.745823325150413,0.0791766748495866,0,0.0691766748495866,0.00582332515041344,0.0016,0.0507,0.177,0.2856
"8",0.1,0.75,0.85,0.157407407407407,0.316666666666666,0.85,0.95,0.02372,0.01527,0.00992,0.01347,0.01054,0.00208,0.001,0.021,0.003,0,0,0,0,0.598730701500705,0.159602631832628,0,0.0162692984992949,0.125397368167372,0.0444,0.2344,0.5099,0.718
"9",0.1,0.75,0.85,0.0515873015873016,0.0944444444444444,0.65,0.85,0.0385125,0.0071125,0.0002625,0.01215,0.013475,0.0034875,0.00475,0.009,0.01125,0,0,0,0,0.769903898364033,0.0836675302073958,0,0.0450961016359673,0.00133246979260418,0.002,0.1157,0.475,0.7197
"10",0.1,0.75,0.85,0.0833333333333333,0.316666666666666,0.75,0.95,0.0045,0.00755,0.002,0.00205,0.0584,5e-04,0.00875,0.00375,0.0125,0,0,0,0,0.562612323024077,0.262387676975922,0,0.0523876769759227,0.0226123230240773,0.069,0.5006,0.9114,0.9888
"11",0.1,0.85,0.95,0.030952380952381,0.0166666666666667,0.65,0.75,0.0055,0.0495,0.0017305,0.00635,0.021,0.0009195,0.01065,0.002,0.00235,0,0,0,0,0.861191748800588,0.0109511083422694,0,0.0238082511994123,0.00404889165773057,0,0,0.0061,0.0359
"12",0.1,0.85,0.95,0.05,0.0314814814814815,0.75,0.85,0.0268,0.0016,0.003624,0.016,0.036,0.000976,0.0047,0.0099,4e-04,0,0,0,0,0.840127793499269,0.0148722065007314,0,0.0315388731673981,0.0134611268326019,0,0.0023,0.054,0.1055
"13",0.1,0.85,0.95,0.0944444444444444,0.105555555555556,0.85,0.95,5e-04,0.0115,0.00439,0.057,0.0115,0.00011,0.0054,0.0091,5e-04,0,0,0,0,0.802543061536271,0.0124569384637289,0,0.00245693846372888,0.0825430615362711,4e-04,0.0672,0.2249,0.3593
"14",0.1,0.85,0.95,0.030952380952381,0.0314814814814815,0.65,0.85,0.01012,0.01532,0.00072,0.04156,0.017,0.00028,0.00325,0.00775,0.004,0,0,0,0,0.857265803879515,0.0148770532633422,0,0.0144008627871517,0.0134562800699911,0,0.0014,0.0683,0.2615
"15",0.1,0.85,0.95,0.05,0.105555555555556,0.75,0.95,0.0264,0.0412,0.002936,0.0016,0.0112,0.001664,0.00365,0.01095,4e-04,0,0,0,0,0.783385098695289,0.0716149013047107,0,0.0216149013047107,0.0233850986952894,8e-04,0.082,0.3521,0.5968
"16",0.1,0.5,0.7,0.103174603174603,0.1,0.65,0.75,0.00669,0.000605,0.01028,0.015035,0.00917,0.00822,0.0055,0.033,0.0115,0,0,0,0,0.79344821043745,0.0136946467054077,0,0.0165517895625505,0.0763053532945924,0.0165,0.1104,0.2356,0.3455
"17",0.1,0.5,0.7,0.166666666666667,0.188888888888889,0.75,0.85,0.010635,0.007085,0.001665,0.004775,0.022005,0.003835,0.022,0.0035,0.0245,0,0,0,0,0.678985447082669,0.0710145529173314,0,0.0510145529173315,0.0989854470826686,0.0594,0.3347,0.6521,0.8216
"18",0.1,0.5,0.7,0.314814814814815,0.633333333333333,0.85,0.95,0.01188,0.00332,0.01454,0.00196,0.01084,0.00746,0.037,0.005,0.008,0,0,0,0,0.276938257171618,0.339728409495049,0,0.0530617428283828,0.230271590504951,0.2437,0.6109,0.8841,0.9735
"19",0.1,0.5,0.7,0.103174603174603,0.188888888888889,0.65,0.85,0.021155,0.005055,0.01439,0.004615,0.000675,0.00411,0.033,0.0055,0.0115,0,0,0,0,0.654753849790432,0.152389007352426,0,0.0752461502095684,0.0176109926475744,0.1184,0.4565,0.7873,0.9172
"20",0.1,0.5,0.7,0.166666666666667,0.633333333333333,0.75,0.95,0.00076,0.0044,0.00614,0.0104,0.02044,0.00786,0.0025,0.0315,0.016,0,0,0,0,0.269902858610731,0.480097141389269,0,0.0600971413892694,0.0899028586107306,0.4414,0.9104,0.9974,0.9998
"21",0.1,0.7,0.95,0.0619047619047619,0.0166666666666667,0.65,0.75,0.0274399750545681,0.00873090115372622,0.001354,0.00062363579669473,0.0318054256314312,4.6e-05,0.0194,0.007,0.0036,0,0,0,0,0.842229500120073,0.002056214165641,0,0.0427704998799267,0.012943785834359,0,0.002,0.0489,0.0953
"22",0.1,0.7,0.95,0.1,0.0314814814814815,0.75,0.85,0.0096,0.0294,0.000376,0.0078,0.0191,0.003724,0.0102,0.0189,9e-04,0,0,0,0,0.789406213163553,0.0205937868364466,0,0.0822604535031133,0.00773954649688676,0,0.0332,0.1682,0.1776
"23",0.1,0.7,0.95,0.188888888888889,0.105555555555556,0.85,0.95,0.0166,0.0202,9.4e-05,0.0052,0.0278,0.000106,0.0137,0.0115,0.0048,0,0,0,0,0.676302466961788,0.053697533038212,0,0.128697533038212,0.041302466961788,0.0132,0.2602,0.5605,0.7503
"24",0.1,0.7,0.95,0.0619047619047619,0.0314814814814815,0.65,0.85,0.020368,0.029824,0.000236,0.001264,0.014144,0.004164,9e-04,0.0285,6e-04,0,0,0,0,0.839397692002157,0.0048880222835578,0,0.0322689746645102,0.0234453110497755,2e-04,0.0395,0.2343,0.3771
"25",0.1,0.7,0.95,0.1,0.105555555555556,0.75,0.95,0.0072,0.0148,0.001368,0.008,0.0376,0.001032,0.0127,0.0147,0.0026,0,0,0,0,0.741428925036453,0.0685710749635473,0,0.0635710749635473,0.0264289250364527,0.0191,0.3912,0.7938,0.9279
"26",0.1,0.6,0.5,0.0825396825396826,0.166666666666667,0.65,0.75,0.005896,0.000936,0.018592,0.003672,0.007896,0.023008,0.0192,0.0124,0.0084,0,0,0,0,0.681847923399348,0.143866362314937,0,0.0681520766006517,0.00613363768506263,0.0181,0.0814,0.1665,0.2463
"27",0.1,0.6,0.5,0.133333333333333,0.314814814814815,0.75,0.85,0.006236,0.001648,0.006324,0.010196,0.01912,0.016476,0.0084,0.0044,0.0272,0,0,0,0,0.526767828135441,0.253232171864559,0,0.0898988385312259,0.0301011614687741,0.0508,0.2227,0.4578,0.6598
"29",0.1,0.6,0.5,0.0825396825396826,0.314814814814815,0.65,0.85,0.00382,0.00196,0.032,0.005452,0.000368,0.0164,0.0244,0.014,0.0016,0,0,0,0,0.612164702750299,0.213549582963987,0,0.00450196391636772,0.0697837503693466,0.1066,0.3747,0.6794,0.858
"31",0.1,0.85,0.75,0.030952380952381,0.0833333333333333,0.65,0.75,0.0256,0.0308,0.017812,0.0032,0.001,0.006588,0.0028,0.0116,6e-04,0,0,0,0,0.803336549480279,0.0688063076625778,0,0.0216634505197206,0.00619369233742223,0,0.0125,0.0468,0.0776
"32",0.1,0.85,0.75,0.05,0.157407407407407,0.75,0.85,0.02015,5e-04,0.0159,0.0399,4e-04,0.00815,0.00345,0.0106,0.00095,0,0,0,0,0.725518293235994,0.129481706764006,0,0.0328150400973391,0.0121849599026609,9e-04,0.0322,0.0853,0.1393
