"","pi","xi1","xi2","eta1","eta2","ppv1","ppv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"1",0.1,0.5,0.5,0.981113919062773,0.981113919062773,0.65,0.65,0.0234509173387608,0.00189856316101809,0.018198876848499,0.000724608294573947,0.00438296350585362,0.00134407085129444,0.0193728317149432,0.000170115984850297,0.0304570523002065,0,0,0,0,0.0119067109846024,0.00509076185890223,0,0.00509076185890223,0.877911765297593,0,0.0055,0.0283,0.0331
"2",0.1,0.5,0.5,0.990388593471532,0.990388593471532,0.75,0.75,0.017033771141698,0.00149126544524925,0.025462662788759,0.00492764435987315,0.000300682255371151,0.000783973978028683,0.0220262839051451,0.00422035289266337,0.0237533632332123,0,0,0,0,0.00483769751369845,0.00381256836192312,0,0.00381256836192312,0.887537165762455,0,0.0035,0.0204,0.0296
"3",0.1,0.5,0.5,0.999459575277676,0.999459575277676,0.85,0.85,0.0351781898828896,0.00459786695035205,0.00313736803671081,0.0024313345506206,0.00105084349886506,0.00360439703793609,0.00530390047906795,0.00143786463820472,0.0432582349253531,0,0,0,0,0.000263222648680839,0.00022315960141106,0,0.00022315960141106,0.899290458148497,0,1e-04,0.0032,0.0119
"4",0.1,0.75,0.75,0.992198269940369,0.992198269940369,0.65,0.65,0.0393904688341948,0.00780259863674669,0.0061209446139415,0.00160239047524534,0.0117092863080286,0.00837431113142424,0.0123211527754438,0.0021741029703408,0.0105047442546343,0,0,0,0,0.00429891354794898,0.00272264350571849,0,0.00272264350571849,0.890255799440614,0,0.0059,0.0214,0.031
"5",0.1,0.75,0.75,0.98440448087058,0.98440448087058,0.75,0.75,0.0411119393228322,0.00359621226141984,0.0220688238280474,0.00456533752884334,0.00340590181290129,0.000251785245895407,0.0210996985606828,0.00122091051332059,0.00267939092605718,0,0,0,0,0.00520258124928052,0.00883338596719718,0,0.00883338596719718,0.877130646816325,3e-04,0.0104,0.0264,0.032
"6",0.1,0.75,0.75,0.991760167709435,0.991760167709435,0.85,0.85,0.0445475968681306,0.00118799349290479,0.0243178813412331,0.00224554361883237,0.00262548375390596,7.5500924277444e-05,0.0232603312153191,0.00113305105090727,0.000606617734489417,0,0,0,0,0.00579633003926061,0.00161951902224755,0,0.00161951902224755,0.890964631916244,1e-04,0.0125,0.0296,0.0338
"7",0.1,0.85,0.85,0.997412643624896,0.997412643624896,0.65,0.65,0.0357174045934853,0.0144092219020173,0.00663697493668675,0.0105478343578314,0.0103064976363198,0.00738206442270837,0.0104983645281189,0.00352067698222738,0.000980960640604878,0,0,0,0,0.000233771038348651,0.00209484969924456,0,0.00209484969924456,0.895576529563162,0,0.0037,0.0188,0.0262
"8",0.1,0.85,0.85,0.976889756807941,0.976889756807941,0.75,0.75,0.0610432208063627,0.00504097607229592,0.0132652172651012,0.00476735990879069,0.000209971860755807,0.000673254075812592,0.0135388334394865,0.000399637912308445,0.00106152865908625,0,0,0,0,0.0185714907105008,0.00222772816235239,0,0.00222772816235239,0.876973052964795,1e-04,0.0082,0.025,0.031
"9",0.1,0.85,0.85,0.994546065071287,0.994546065071287,0.85,0.85,0.0712053191271945,0.0012166958464756,0.00400024524664319,0.00239057720208007,0.00595101133283762,0.000236151243366572,0.0028263638911907,0.00141003260022156,0.0107636035099902,0,0,0,0,0.00288855039972169,0.00201999103611983,0,0.00201999103611983,0.893071467528039,0,4e-04,0.0052,0.0181
"10",0.3,0.5,0.5,0.926660595240537,0.926660595240537,0.65,0.65,0.0477909908834544,0.0106235359066561,0.0724549021948345,0.00521491837093911,0.000958311714756735,0.0129573407482654,0.0778635199111621,0.00754872321303154,0.0645877570569001,0,0,0,0,0.0177176230277487,0.0336199603038754,0,0.0336199603038754,0.615042456364501,0.0264,0.0372,0.0429,0.0459
"11",0.3,0.5,0.5,0.987563670167999,0.987563670167999,0.75,0.75,0.0736578354308367,0.00545673305366622,0.0399145046769573,0.0105875093236485,0.00388819517019424,0.0164952223443444,0.0347837284073154,0.0216259986143389,0.0935902729786983,0,0,0,0,0.00779780678389452,0.00090762409850631,0,0.00090762409850631,0.690386945019093,0.0053,0.0241,0.0333,0.0369
"12",0.3,0.5,0.5,0.987845335267983,0.987845335267983,0.85,0.85,0.0144238649401737,0.00081953778069169,0.119488608424848,0.00396481043008052,0.000364404004997631,0.0109387600493692,0.116343350145296,0.0140840326987607,0.0195726315257824,0,0,0,0,0.00310029940415169,0.0054079659082602,0,0.0054079659082602,0.686083768779328,0.0358,0.0413,0.0465,0.0456
"13",0.3,0.75,0.75,0.966412281288649,0.966412281288649,0.65,0.65,0.0875164681526094,0.0305971553787003,0.0434187884817035,0.0326847595638278,0.0104251768826127,0.0203576515398704,0.0413311842972276,0.0224452557250223,0.0112235599784261,0,0,0,0,0.0066878158831708,0.0168235872147748,0,0.0168235872147748,0.659665009687279,0.0138,0.0297,0.0368,0.0423
"14",0.3,0.75,0.75,0.963263340959592,0.963263340959592,0.75,0.75,0.163795346900536,0.00629781918492687,0.0179435798677978,0.0233857900091444,0.00588533536095026,0.00769212863369047,0.000855609086533898,0.0247800994579085,0.0493642914985117,0,0,0,0,0.00411367252678807,0.0216019888014978,0,0.0216019888014978,0.652682349870216,0.002,0.0232,0.0322,0.0361
"15",0.3,0.75,0.75,0.996136666029841,0.996136666029841,0.85,0.85,0.131421001145958,0.010545673226895,0.051582009339391,0.0183318678994202,0.00868526110243778,0.00443418728403266,0.0437958146668658,0.0122203819584228,0.0189838033765763,0,0,0,0,0.00245881465503273,0.00024551912407822,0,0.00024551912407822,0.697050147096811,0.0136,0.0275,0.0403,0.0426
"16",0.3,0.85,0.85,0.997328287036507,0.997328287036507,0.65,0.65,0.101557783574092,0.0453065740026632,0.0201012718192243,0.0569978528206129,0.00839351942221355,0.0226429826273668,0.008409993003684,0.0343342771767341,0.00225574555340891,0,0,0,0,0.000614482106243264,0.00125571696820159,0,0.00125571696820159,0.696874083957354,0.008,0.0242,0.0372,0.0394
"17",0.3,0.85,0.85,0.995377431436957,0.995377431436957,0.75,0.75,0.154578200013401,0.0249985059571563,0.0141001425226325,0.00468981547201301,0.0297547896481776,0.0268785463827394,0.0344088330101832,0.0065698558990688,0.00402131109462817,0,0,0,0,0.00244633055795251,0.000789467436177249,0,0.000789467436177249,0.695974734569693,0.0169,0.0304,0.0402,0.0442
"18",0.3,0.85,0.85,0.949398027784441,0.949398027784441,0.85,0.85,0.216453382364306,0.00739800680446732,0.023006784299483,0.00537735091896519,0.000196188590741682,0.00256828700607293,0.0250274401849863,0.000547631136533167,0.019424928694444,0,0,0,0,0.0299249193206097,0.0054964612302818,0,0.0054964612302818,0.659082158218827,0.0168,0.0328,0.0387,0.0443
"19",0.5,0.5,0.5,0.861643628438469,0.861643628438469,0.65,0.65,0.0150301835653567,0.00739189355673278,0.185043735370211,0.0301046040412324,0.00543768950221998,0.00699188569905006,0.162331033150909,0.0297045961835496,0.0579643789307392,0,0,0,0,0.0506727243436521,0.0185054614371134,0,0.0185054614371134,0.412316352782121,0.0348,0.0396,0.048,0.0483
"20",0.5,0.5,0.5,0.957127210946055,0.957127210946055,0.75,0.75,0.128130081300813,0.00747967479674797,0.0679674796747967,0.0103951502108813,0.0279477744579054,0.00807977941529682,0.065052064383535,0.0109952548501173,0.173952740909906,0,0,0,0,0.00866425180526947,0.012772142721703,0,0.012772142721703,0.465791462751325,0.0241,0.0373,0.0395,0.0444
"21",0.5,0.5,0.5,0.972964073845651,0.972964073845651,0.85,0.85,0.203765971755212,0.00512282922583963,0.0151014676213458,0.00565001771165427,0.0039867931211945,0.0163729205515342,0.0145742791487322,0.0169001090373675,0.21852561182712,0,0,0,0,0.00328455348298257,0.0102334095941919,0,0.0102334095941919,0.476248627328634,0.0058,0.0317,0.0402,0.0431
"22",0.5,0.75,0.75,0.817537757870741,0.817537757870741,0.65,0.65,0.265022831050228,0.0287853881278539,0.00924200913242009,0.0244866882468986,0.00879029925959564,0.0386727838014951,0.0135407093948822,0.0343740839205414,0.0770852070660848,0,0,0,0,0.0666971597137729,0.0245339613508564,0,0.0245339613508564,0.384234917584514,0.0226,0.0349,0.0389,0.0445
"23",0.5,0.75,0.75,0.996171184000559,0.996171184000559,0.75,0.75,0.159192534003625,0.02048267230321,0.103010599679049,0.0619173027268557,0.024768982595744,0.00562790865471337,0.0615759692693096,0.0470625391012556,0.0163614916662372,0,0,0,0,0.00144974335674852,0.000464664642971901,0,0.000464664642971901,0.497620927357308,0.0244,0.0366,0.0433,0.0472
"24",0.5,0.75,0.75,0.988976978417486,0.988976978417486,0.85,0.85,0.272714958704434,0.0241480167339942,0.0265718087338024,0.00875142967786093,0.0201235601905637,0.0226902259566459,0.0419683957902735,0.00729363890287366,0.0757379653095517,0,0,0,0,0.0026353585515167,0.0028761522397403,0,0.0028761522397403,0.491612336969003,0.0251,0.0372,0.0413,0.0429
"25",0.5,0.85,0.85,0.72840800583188,0.72840800583188,0.65,0.65,0.285874021617592,0.015281401416325,0.0633619083115915,0.0413636543140143,0.0119429848127835,0.0071759627685227,0.0372797221730325,0.0332582156662523,0.00446212891988584,0,0,0,0,0.0249427989014917,0.110853198182569,0,0.110853198182569,0.253350804733371,0.0295,0.0397,0.043,0.0478
"26",0.5,0.85,0.85,0.956173594942084,0.956173594942084,0.75,0.75,0.254926410755124,0.0378660982981081,0.0423923928427727,0.0240678418174829,0.0390278725690931,0.0267193837126293,0.0561906493241121,0.0129211272360801,0.005888223444598,0,0,0,0,0.0186259990842693,0.00328720344468891,0,0.00328720344468891,0.474799594026353,0.031,0.0448,0.0477,0.0458
"27",0.5,0.85,0.85,0.89636914187402,0.89636914187402,0.85,0.85,0.351792828685259,0.00682982356289129,0.0466704610130905,0.0168265667026706,0.00246733168138594,0.000412986847957304,0.0366737193156119,0.0104097300521813,0.0279165521389522,0,0,0,0,0.0316560511086175,0.0201593779543725,0,0.0201593779543725,0.428025192982638,0.0279,0.0413,0.0415,0.0464
