"","pi","xi1","xi2","eta1","eta2","ppv1","ppv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"1",0.1,0.5,0.6,0.990104429566094,0.988398340956774,0.65,0.65,0.0033055172972535,0.00815036862999271,0.0268330227659402,0.00026622563169325,0.00500945870899209,0.00643540695545867,0.0422152276113407,0.00105320212072776,0.00673157027860113,0,0,0,0,0.00706546128440178,0.00184055210611322,0,0.00337603185450197,0.887717954754983,0,0.0027,0.0129,0.0238
"2",0.1,0.5,0.6,0.993951168396355,0.998743481829297,0.75,0.75,0.0258362933182808,0.00894835699267173,0.00679831102149676,0.00505786354401334,0.00223625290370049,0.00112292221982342,0.0149539929029305,0.00296724033840316,0.0320787667586798,0,0,0,0,0.000965693575985638,0.00447825486729492,0,0.00016517277764716,0.894390878779072,0,6e-04,0.0055,0.0148
"3",0.1,0.5,0.6,0.999514852270174,0.999669017079286,0.85,0.85,0.0159008063842402,0.00392906513420475,0.0230412664948723,0.00150547394755194,0.000752736973775972,0.0048706510067857,0.0338469216025539,0.00406499595767325,0.012088082498342,0,0,0,0,8.1719185221707e-05,0.000354913771622001,0,0.000216165443420624,0.899347201599736,0,1e-04,0.0054,0.0172
"4",0.1,0.75,0.85,0.99205871860128,0.973195761786451,0.65,0.65,0.0430143105302341,0.00732070477293407,0.00306063363388204,0.0112193459942213,0.000668009840401986,0.00971699454592769,0.0166968228304711,0.00608080603173748,0.00222237182019026,0,0,0,0,0.00679846970973774,0.000348683549109774,0,0.0173253446824567,0.875527502058696,1e-04,0.0074,0.0209,0.0278
"5",0.1,0.75,0.85,0.983822188999814,0.995349235473421,0.75,0.75,0.0534675615212528,0.0118568232662192,0.00184563758389262,0.00194630872483221,0.00419463087248322,0.00168903803131991,0.0114753958093561,0.00205927980585643,0.0114653243847875,0,0,0,0,0.00233764576858697,0.0122223841315802,0,0.00184804230533442,0.883591927794498,0,0.007,0.0226,0.0271
"6",0.1,0.75,0.85,0.988283188515925,0.998066971281466,0.85,0.85,0.062389180671292,0.00442068344183785,0.0059034966721831,0.00135471125228304,0.000437008766556159,0.000494919195842297,0.00998487504610358,0.00641354082192733,0.00860158413197461,0,0,0,0,0.00135655437787463,0.00918857595779288,0,0.000383171468806065,0.889071698195526,0,0.0052,0.0245,0.0319
"7",0.1,0.85,0.95,0.969592748762936,0.96514806197691,0.65,0.65,0.0696237894214055,0.00114849764092376,0.00226595480506581,0.00443202839574029,0.00568421622915824,0.00184551340138081,0.00808256592636161,0.00602890238641059,0.000888531793553388,0,0,0,0,0.0232212584403499,0.00414526767300738,0,0.00814548578043073,0.864487988106212,0,0.0097,0.026,0.0331
"8",0.1,0.85,0.95,0.997514495288164,0.977482524690762,0.75,0.75,0.0643463448711446,5.74179163038173e-05,0.00102395284075141,0.0178785584750018,0.00102114930738437,0.000672576536292261,0.0042243924875895,0.00747213694257588,0.00330347062295633,0,0,0,0,0.00139928257695165,0.000837671663700634,0,0.0188664452013629,0.878896600557985,9e-04,0.0173,0.0317,0.0357
"9",0.1,0.85,0.95,0.98665861590455,0.986967386881782,0.85,0.85,0.0777450996774894,0.00270563045766858,0.00200542869784632,0.00098177373639792,0.00133248036196508,0.00022958706861754,0.0119930756215494,0.000241940144929564,0.00276498423353615,0,0,0,0,0.00868644911417871,0.00332079657172657,0,0.00304290269221752,0.884949851621877,0,0.0011,0.0111,0.0253
"10",0.1,0.5,0.7,0.993055430786141,0.973192668582778,0.65,0.65,0.0307050420164118,0.00546746753426801,0.000390063439353829,0.00842204873432695,0.00260231842914597,0.00241305890702626,0.0220551981283359,0.000747925157511389,0.0271968776536199,0,0,0,0,0.00588370501786262,0.00036640727461057,0,0.0182428932576368,0.87550699444989,0,0.0014,0.015,0.0219
