,pi,xi1,xi2,eta1,eta2,ppv1,ppv2,p11,p12,p13,p14,p15,p16,p17,p18,p19,p01,p02,p03,p04,p05,p06,p07,p08,p09,N100,N200,N350,N500
1,0.1,0.5,0.5,0.9925058375,0.9925058375,0.65,0.75,0.0314871413,0.0016846813,0.0037122624,0.0006424852,0.0003466848,0.0121267449,0.0104289333,0.0054100742,0.0341609927,0,0,0,0,0.0051316574,0.0016130889,0,0.0016130889,0.8916421648,0,0.0043,0.0618,0.1354
2,0.1,0.5,0.5,0.9984982454,0.9984982454,0.75,0.85,0.0149167768,0.0018532563,0.0217436512,0.0054173394,6.80814643350386E-005,0.0060008948,0.0233147261,0.0044298199,0.022255454,0,0,0,0,0.0009191674,0.0004324117,0,0.0004324117,0.8982160092,0,0.0044,0.044,0.0717
3,0.1,0.5,0.5,0.9977387886,0.9977387886,0.85,0.95,0.0362937177,7.5402460633632E-005,0.0078607065,0.0035142527,9.99111460935503E-005,0.0021560094,0.0096253653,0.0003913507,0.0399832841,0,0,0,0,0.0019580847,7.70055761607491E-005,0,7.70055761607491E-005,0.8978879042,0,0.0022,0.0326,0.0791
4,0.1,0.5,0.5,0.9995298373,0.9995298373,0.65,0.85,0.0045845867,0.0010639866,0.0271264719,0.0029368408,0.004547624,0.00974049,0.035338247,0.0015287149,0.0131330381,0,0,0,0,3.85862791232316E-005,0.0003845601,0,0.0003845601,0.8991922934,0,0.0302,0.1187,0.1626
5,0.1,0.5,0.5,0.9990700096,0.9990700096,0.75,0.95,0.032388704,0.0011101965,0.004628843,0.0054951793,0.0005753076,0.0058017696,0.0104112584,1.93541249957005E-005,0.0395693874,0,0,0,0,0.0004884869,0.0003485044,0,0.0003485044,0.8988145042,0,0.0038,0.0946,0.2358
6,0.1,0.75,0.75,0.9988769454,0.9988769454,0.65,0.75,0.0314520309,0.0148679234,0.0030870327,0.0147896593,0.0028143385,0.0079890153,0.0107663717,0.0003096763,0.013923952,0,0,0,0,0.0003161151,0.000694634,0,0.000694634,0.8982946169,0,0.0059,0.0499,0.0857
7,0.1,0.75,0.75,0.9933290855,0.9933290855,0.75,0.85,0.0501911442,0.0022156658,0.0083460571,0.0045031647,0.0019571218,0.0077868462,0.0141589406,0.0019739629,0.0088670966,0,0,0,0,0.0024136297,0.0035901933,0,0.0035901933,0.8904059837,0.0001,0.0225,0.0983,0.155
8,0.1,0.75,0.75,0.9977271361,0.9977271361,0.85,0.95,0.0608501307,0.0006747069,0.0039639032,0.0070327966,0.0010994761,0.0013789865,0.0053103713,3.25183566372012E-005,0.0196571104,0,0,0,0,0.0019353005,0.000110277,0,0.000110277,0.8978441456,0,0.0039,0.0773,0.1735
9,0.1,0.75,0.75,0.999051024,0.999051024,0.65,0.85,0.0354613705,0.00883872,0.0050050583,0.0172227606,2.39641855247333E-005,0.0084481243,0.0117918355,0.0016613492,0.0115468174,0,0,0,0,0.0003597485,0.0004943299,0,0.0004943299,0.8986515917,0.0001,0.022,0.1577,0.2937
10,0.1,0.75,0.75,0.9969152556,0.9969152556,0.75,0.95,0.0448993387,6.33997003032454E-005,0.013369464,0.0073774316,0.0001217571,0.0091686089,0.0216106862,0.0009273867,0.0024619271,0,0,0,0,0.0022677067,0.0005085633,0,0.0005085633,0.8967151668,0.0002,0.064,0.2378,0.3727
