"","pi","xi1","xi2","eta1","eta2","ppv1","ppv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"1",0.1,0.5,0.6,0.987049748524765,0.986615352041554,0.65,0.75,0.0297747796862002,0.00429831671116624,0.00600280071564417,0.0017287288354241,0.00156336696687483,0.0066320070846603,0.022531128850327,0.000103678950007673,0.0273651921996955,0,0,0,0,0.000740998799759307,0.0109142275279525,0,0.0113051843628423,0.877039589309446,2e-04,0.0108,0.0662,0.1189
"2",0.1,0.5,0.6,0.999046423792606,0.994558713415172,0.75,0.85,0.0241767323887467,0.00237967444533636,0.0115872571045869,0.0073065874959033,0.00136878024329587,0.00318096817103969,0.0236792643527435,0.00108896107397434,0.0252317747243734,0,0,0,0,0.000526739165995882,0.000331479420658476,0,0.00437041876034938,0.894771362652996,0,1e-04,0.0148,0.0559
"3",0.1,0.5,0.6,0.992034096088416,0.999283833717151,0.85,0.95,0.0172215843857635,0.000511806122307831,0.0308605259153722,3.41030469744261e-05,0.00107464567281619,0.000297334787847349,0.0403566347390978,0.000801226033040288,0.00884213929678049,0,0,0,0,5.84901210309852e-06,0.00716346450832284,0,0.000638700642460743,0.892191985837113,0,0.0025,0.0575,0.1543
"4",0.1,0.5,0.6,0.995263200246781,0.992614028046373,0.65,0.85,0.015562706896375,0.00125034589486846,0.0184579750545745,0.00492821941289908,0.000457594433327402,0.00934315829740975,0.0361593422352504,0.00164179112727966,0.0121988666480157,0,0,0,0,0.000499564187587453,0.00376355559030983,0,0.00614781057067659,0.889589069651426,0,0.0134,0.1484,0.3064
"5",0.1,0.5,0.6,0.990902188269603,0.999865938751803,0.75,0.95,0.0312590414445055,0.00153520037317178,0.0108467810981406,0.00134945678843572,0.000908518330941998,0.00410100196260404,0.0245061241342672,0.000441658928677841,0.0250522169392553,0,0,0,0,2.852421785704e-05,0.00815950633950058,0,9.21309055201824e-05,0.891719838537122,0,0.0234,0.2754,0.5344
"6",0.1,0.75,0.85,0.979313146699375,0.986568923105046,0.65,0.75,0.0562586578944681,0.00379841188263043,0.000794739403758249,0.00139481819795781,0.00607217847080882,0.00668119415015345,0.015162500811668,0.00231343274246677,0.00752406644608829,0,0,0,0,0.0100062619295059,0.00861190604105644,0,0.00208170727595269,0.879300124753485,7e-04,0.0632,0.2084,0.3344
"7",0.1,0.75,0.85,0.985167653935302,0.987322610328168,0.75,0.85,0.0561757563883881,0.00118717882813497,0.00889889837713283,0.00195523093120256,0.00104857996852142,0.00573435550462117,0.0238172157793608,0.000816038104392167,0.000366746118245997,0,0,0,0,0.00721004932728564,0.00613906213094284,0,0.00419960137736308,0.882451287164408,1e-04,0.039,0.1772,0.2996
"8",0.1,0.75,0.85,0.992535551558831,0.997639776859238,0.85,0.95,0.0659587424830631,0.000799269239552409,0.00270229123848672,0.00351393662938061,0.000962038859794478,0.00106372145333043,0.0132953116729074,0.00047070111530198,0.0112339873081829,0,0,0,0,0.00206891307012746,0.00464909052692486,0,5.52877565579424e-05,0.89322670864639,0,0.0067,0.1377,0.3475
"9",0.1,0.75,0.85,0.98397248594847,0.990623259632072,0.65,0.85,0.0522693331601844,0.000441529770794104,0.0054152327770924,0.00912838484712221,0.00489080667917969,0.00285471275355013,0.0180254883741582,0.000244457168561363,0.00673005446935747,0,0,0,0,0.00145453480578439,0.0129702278405922,0,0.00698453152535072,0.878590705828273,0.0012,0.1081,0.4476,0.6947
"10",0.1,0.75,0.85,0.986228845276249,0.999881903380479,0.75,0.95,0.0573458420270551,0.00138393785175889,0.00681574955921868,0.00842987482584583,8.67382618736549e-05,0.000937857456508893,0.0150752557567896,0.00267835127667691,0.00724639298427242,0,0,0,0,2.2148154291135e-05,0.0123718910970849,0,8.41388032778445e-05,0.887521821945346,5e-04,0.0846,0.4489,0.6983
"11",0.1,0.85,0.95,0.979813935894571,0.996418690538525,0.65,0.75,0.0629408675109004,0.00319048188618874,0.000927498104586429,0.00299812362331058,0.0129442797704838,0.00199874908220705,0.00772839275228437,0.00519785445683212,0.00207375281320651,0,0,0,0,0.00175769827703376,0.0164097594178524,0,0.00146548023829329,0.88036706206682,9e-04,0.0595,0.1954,0.317
"12",0.1,0.85,0.95,0.979937989492707,0.999071381421527,0.75,0.85,0.0648884656920236,0.00944230357702727,0.00296108782238118,0.0062141381243903,0.000495441173081798,0.000998563604660988,0.010357789396118,0.00360186203735897,0.00104034857295784,0,0,0,0,0.000543755907965404,0.0175120535485986,0,0.000292000812660453,0.881652189730776,0.0011,0.039,0.1314,0.2004
"13",0.1,0.85,0.95,0.991304652019171,0.996868886256836,0.85,0.95,0.0783862422373735,8.68545620358709e-05,0.000428844400052113,0.00571432987356632,0.00020452218537751,0.000179206735721662,0.00882653013946519,0.0017815210021816,0.00439194886422622,0,0,0,0,0.0011815525835478,0.0066442605991982,0,0.00163644978529964,0.890537737031954,0,0.0161,0.1593,0.326
"14",0.1,0.85,0.95,0.983655167713425,0.999123878061849,0.65,0.85,0.0546221684960474,0.007114020502233,0.00307553788935505,0.0184406188652152,0.00136973827934936,0.0003779159677891,0.00835744592142289,0.0050960079357321,0.00154654614285586,0,0,0,0,0.000593773649784191,0.0141165754081333,0,0.000194736094551673,0.885094914847531,6e-04,0.0814,0.3396,0.5479
"15",0.1,0.85,0.95,0.988767743365477,0.999887251953219,0.75,0.95,0.069582135819253,0.00148678855073992,0.000262848858309434,0.00911785720278844,0.00301421296913512,0.00153615659976876,0.0116464065579561,0.000152598900127435,0.00320099454192181,0,0,0,0,8.0721582674026e-05,0.0100283093883968,0,2.07516594287194e-05,0.889870217369501,1e-04,0.1382,0.6423,0.8773
"16",0.1,0.5,0.7,0.982465663273534,0.999673234682349,0.65,0.75,0.0235449237144472,0.00131851572800904,0.0178941420229798,0.00216893185613969,0.000864212386657524,0.00420926877222022,0.0270067110188275,0.015096705295919,0.00789658920479995,0,0,0,0,0.000165551542050335,0.015615351511769,0,0.000128537243835547,0.884090559702345,1e-04,0.0134,0.0605,0.1087
"17",0.1,0.5,0.7,0.986111133954384,0.988452036695089,0.75,0.85,0.02125,0.000625,0.025,0.00210968791816973,0.00055826348990536,0.000457064011134305,0.044974504010087,0.000482544581837871,0.0045429359888657,0,0,0,0,0.00382236965487781,0.00867760978617627,0,0.00657079731954191,0.880929223239404,0,0.0078,0.0682,0.1358
"18",0.1,0.5,0.7,0.994698365808775,0.996698741361292,0.85,0.95,0.0392938096176391,0.000281688693327361,0.00698025184532053,0.00173900371996721,0.000190528606691413,0.00151471751705427,0.0282897627984892,0.000205206563885701,0.0215050306376252,0,0,0,0,0.00263176322277381,0.00213970754932868,0,0.000339369552063595,0.894889159675834,0,3e-04,0.0352,0.1671
"19",0.1,0.5,0.7,0.98613375323152,0.996642454618122,0.65,0.85,0.031160499484477,0.00372322144575553,0.00572803299347004,0.00276476623186282,0.00205422834530265,0.00456925106258244,0.0281432565007965,0.00215402799180546,0.0197027159439475,0,0,0,0,0.00299377467382633,0.009485847417806,0,2.80161698634762e-05,0.887492361738504,1e-04,0.0456,0.2933,0.5062
"20",0.1,0.5,0.7,0.998403915391666,0.999485788665738,0.75,0.95,0.0269770172715182,0.000631613594815431,0.0109687262310905,0.0071258204130831,0.00174148761533951,0.00255533486095172,0.0328368130061928,0.000687248099050866,0.0164759389079578,0,0,0,0,0.000296929174658067,0.0011395469728428,0,0.000165861026177883,0.898397662826321,0,0.0026,0.1281,0.4238
"21",0.1,0.7,0.95,0.980518974396141,0.999245524137384,0.65,0.75,0.0457530146994103,0.00999911979579262,0.00114426546958894,0.00405192695022257,0.00586632364639575,0.00318534942369209,0.0219543295576328,0.00737528535054605,0.000670385106718963,0,0,0,0,0.000361888469058935,0.0171710345744137,0,0.000317139807295086,0.882149937149232,8e-04,0.0358,0.1119,0.1723
